dstMac,srcMac,IPType,version,header length,type of service,total length,header identification,others and fragment offset,time to live,type of protocol,header checksum,src IP address,dst IP address
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,15788,172.30.3.167,172.217.160.109
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,1378,7849,0,64,17,22998,172.30.3.167,172.217.160.109
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,49807,172.30.3.167,172.217.27.138
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,15788,172.30.3.167,172.217.160.109
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,15823,172.30.3.167,172.217.160.74
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,76,33271,0,255,17,56772,172.30.3.167,172.30.0.1
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,190,3103,16384,64,17,53803,172.30.0.1,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,47141,172.30.3.167,52.114.158.91
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,52,0,16384,98,6,38449,52.114.158.91,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,40,0,16384,64,6,47165,172.30.3.167,52.114.158.91
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,2,557,0,16384,64,6,46646,172.30.3.167,52.114.158.91
01:00:5e:00:00:fb,f0:18:98:50:8d:e9,0800,4,5,0,455,2011,0,255,17,8586,172.30.3.167,224.0.0.251
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,1378,44661,0,64,17,51721,172.30.3.167,172.217.160.109
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,64,0,16384,64,6,15788,172.30.3.167,172.217.160.109
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,0,16384,98,6,37181,52.114.158.91,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,1,16384,98,6,37180,52.114.158.91,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,2,16384,98,6,37179,52.114.158.91,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,3,16384,98,6,37178,52.114.158.91,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1192,4,16384,98,6,37305,52.114.158.91,172.30.3.167
